Class,Weapon,Attachment,Attachment Type,Unlock
Assault,L85A2,Magnifier (2X),Accessory,140 Kills
Assault,L85A2,Stubby Grip,Underbarrel,150 Kills
Assault,L85A2,Suppressor,Barrel,160 Kills
Assault,L85A2,FLIR (IR 2X),Optic,BattlePack
Assault,L85A2,PRISMA (3.4X),Optic,BattlePack
Assault,L85A2,JGM-4 (4X),Optic,BattlePack
Assault,L85A2,Coyote (RDS),Optic,BattlePack
Assault,L85A2,Flash Hider,Barrel,BattlePack
Assault,L85A2,Folding Grip,Underbarrel,BattlePack
Assault,L85A2,Potato Grip,Underbarrel,BattlePack
Assault,L85A2,Vertical Grip,Underbarrel,BattlePack
Assault,L85A2,Green Laser Sight,Optic,BattlePack
Assault,L85A2,IRNV (IR 1X),Optic,BattlePack
Assault,L85A2,Kobra (RDS),Optic,BattlePack
Assault,L85A2,LS06 Suppressor,Barrel,BattlePack
Assault,L85A2,PBS-4 Suppressor,Barrel,BattlePack
Assault,L85A2,Laser/Light Combo,Accessory,BattlePack
Assault,L85A2,PKA-S (1X),Optic,BattlePack
Assault,L85A2,PK-A (3.4X),Optic,BattlePack
Assault,L85A2,PSO-1 (4X),Optic,BattlePack
Assault,L85A2,R2 Suppressor,Barrel,BattlePack
Assault,L85A2,Tactical Light,Accessory,BattlePack
Assault,L85A2,Tri Beam Laser,Accessory,BattlePack
Assault,L85A2,HD-33 (1X),Optic,BattlePack
Assault,AR160,Iron Sights,Optic,Default
Assault,AR160,Reflex (RDS),Optic,10 Kills
Assault,AR160,Laser Sight,Accessory,20 Kills
Assault,AR160,ERGO Grip,Underbarrel,30 Kills
Assault,AR160,Muzzle Brake,Barrel,40 Kills
Assault,AR160,ACOG (4X),Optic,50 Kills
Assault,AR160,Canted Iron Sights,Accessory,60 Kills
Assault,AR160,Angled Grip,Underbarrel,70 Kills
Assault,AR160,Heavy Barrel,Barrel,80 Kills
Assault,AR160,M145 (3.4X),Optic,70 Kills
Assault,AR160,Flash Light,Accessory,100 Kills
Assault,AR160,Bipod,Underbarrel,110 Kills
Assault,AR160,Compensator,Barrel,120 Kills
Assault,AR160,Holo (1X),Optic,130 Kills
Assault,AR160,Magnifier (2X),Accessory,140 Kills
Assault,AR160,Stubby Grip,Underbarrel,150 Kills
Assault,AR160,Suppressor,Barrel,160 Kills
Assault,AR160,FLIR (IR 2X),Optic,BattlePack
Assault,AR160,PRISMA (3.4X),Optic,BattlePack
Assault,AR160,JGM-4 (4X),Optic,BattlePack
Assault,AR160,Coyote (RDS),Optic,BattlePack
Assault,AR160,Flash Hider,Barrel,BattlePack
Assault,AR160,Folding Grip,Underbarrel,BattlePack
Assault,AR160,Potato Grip,Underbarrel,BattlePack
Assault,AR160,Vertical Grip,Underbarrel,BattlePack
Assault,AR160,Green Laser Sight,Optic,BattlePack
Assault,AR160,IRNV (IR 1X),Optic,BattlePack
Assault,AR160,Kobra (RDS),Optic,BattlePack
Assault,AR160,LS06 Suppressor,Barrel,BattlePack
Assault,AR160,PBS-4 Suppressor,Barrel,BattlePack
Assault,AR160,Laser/Light Combo,Accessory,BattlePack
Assault,AR160,PKA-S (1X),Optic,BattlePack
Assault,AR160,PK-A (3.4X),Optic,BattlePack
Assault,AR160,PSO-1 (4X),Optic,BattlePack
Assault,AR160,R2 Suppressor,Barrel,BattlePack
Assault,AR160,Tactical Light,Accessory,BattlePack
Assault,AR160,Tri Beam Laser,Accessory,BattlePack
Assault,AR160,HD-33 (1X),Optic,BattlePack
Assault,Bulldog,Iron Sights,Optic,Default
Assault,Bulldog,Reflex (RDS),Optic,10 Kills
Assault,Bulldog,Laser Sight,Accessory,20 Kills
Assault,Bulldog,ERGO Grip,Underbarrel,30 Kills
Assault,Bulldog,Muzzle Brake,Barrel,40 Kills
Assault,Bulldog,ACOG (4X),Optic,50 Kills
Assault,Bulldog,Canted Iron Sights,Accessory,60 Kills
Assault,Bulldog,Angled Grip,Underbarrel,70 Kills
Assault,Bulldog,Heavy Barrel,Barrel,80 Kills
Assault,Bulldog,M145 (3.4X),Optic,90 Kills
Assault,Bulldog,Flash Light,Accessory,100 Kills
Assault,Bulldog,Bipod,Underbarrel,110 Kills
Assault,Bulldog,Compensator,Barrel,120 Kills
Assault,Bulldog,Holo (1X),Optic,130 Kills
Assault,Bulldog,Magnifier (2X),Accessory,140 Kills
Assault,Bulldog,Stubby Grip,Underbarrel,150 Kills
Assault,Bulldog,Suppressor,Barrel,160 Kills
Assault,Bulldog,FLIR (IR 2X),Optic,BattlePack
Assault,Bulldog,PRISMA (3.4X),Optic,BattlePack
Assault,Bulldog,JGM-4 (4X),Optic,BattlePack
Assault,Bulldog,Coyote (RDS),Optic,BattlePack
Assault,Bulldog,Flash Hider,Barrel,BattlePack
Assault,Bulldog,Folding Grip,Underbarrel,BattlePack
Assault,Bulldog,Potato Grip,Underbarrel,BattlePack
Assault,Bulldog,Vertical Grip,Underbarrel,BattlePack
Assault,Bulldog,Green Laser Sight,Optic,BattlePack
Assault,Bulldog,IRNV (IR 1X),Optic,BattlePack
Assault,Bulldog,Kobra (RDS),Optic,BattlePack
Assault,Bulldog,LS06 Suppressor,Barrel,BattlePack
Assault,Bulldog,PBS-4 Suppressor,Barrel,BattlePack
Assault,Bulldog,Laser/Light Combo,Accessory,BattlePack
Assault,Bulldog,PKA-S (1X),Optic,BattlePack
Assault,Bulldog,PK-A (3.4X),Optic,BattlePack
Assault,Bulldog,PSO-1 (4X),Optic,BattlePack
Assault,Bulldog,R2 Suppressor,Barrel,BattlePack
Assault,Bulldog,Tactical Light,Accessory,BattlePack
Assault,Bulldog,Tri Beam Laser,Accessory,BattlePack
Assault,Bulldog,HD-33 (1X),Optic,BattlePack
Assault,AN-94,Iron Sights,Optic,Default
Assault,AN-94,Bipod,Underbarrel,Default
Assault,AN-94,UGL Rail,Underbarrel,Default
Assault,AN-94,Kobra (RDS),Optic,10 Kills
Assault,AN-94,Laser Sight,Accessory,20 Kills
Assault,AN-94,ERGO Grip,Underbarrel,30 Kills
Assault,AN-94,Muzzle Brake,Barrel,40 Kills
Assault,AN-94,PSO-1 (4X),Optic,50 Kills
Assault,AN-94,Canted Iron Sights,Accessory,60 Kills
Assault,AN-94,Angled Grip,Underbarrel,70 Kills
Assault,AN-94,Heavy Barrel,Barrel,80 Kills
Assault,AN-94,PK-A (3.4X),Optic,90 Kills
Assault,AN-94,Flash Light,Accessory,100 Kills
Assault,AN-94,Compensator,Barrel,110 Kills
Assault,AN-94,PKA-S (1X),Optic,120 Kills
Assault,AN-94,Magnifier (2X),Accessory,130 Kills
Assault,AN-94,Stubby Grip,Underbarrel,140 Kills
Assault,AN-94,PBS-4 Suppressor,Barrel,150 Kills
Assault,AN-94,Reflex (RDS),Optic,BattlePack
Assault,AN-94,Coyote (RDS),Optic,BattlePack
Assault,AN-94,Holo (1X),Optic,BattlePack
Assault,AN-94,FLIR (IR 2X),Optic,BattlePack
Assault,AN-94,PRISMA (3.4X),Optic,BattlePack
Assault,AN-94,JGM-4 (4X),Optic,BattlePack
Assault,AN-94,HD-33 (1X),Optic,BattlePack
Assault,AN-94,IRNV (IR 1X),Optic,BattlePack
Assault,AN-94,FLIR (IR 2X),Optic,BattlePack
Assault,AN-94,M145 (3.4X),Optic,BattlePack
Assault,AN-94,PRISMA (3.4X),Optic,BattlePack
Assault,AN-94,ACOG (4X),Optic,BattlePack
Assault,AN-94,Green Laser Sight,Optic,BattlePack
Assault,AN-94,Laser/Light Combo,Accessory,BattlePack
Assault,AN-94,Flash Hider,Barrel,BattlePack
Assault,AN-94,Suppressor,Barrel,BattlePack
Assault,AN-94,LS06 Suppressor,Barrel,BattlePack
Assault,AN-94,R2 Suppressor,Barrel,BattlePack
Assault,AN-94,Folding Grip,Underbarrel,BattlePack
Assault,AN-94,Potato Grip,Underbarrel,BattlePack
Assault,AN-95,Vertical Grip,Underbarrel,BattlePack
Engineer,MX4,Iron Sights,Optic,Default
Engineer,MX4,Reflex (RDS),Optic,Default
Engineer,MX4,Laser Sight,Accessory,Default
Engineer,MX4,ERGO Grip,Underbarrel,Default
Engineer,MX4,Compensator,Barrel,10 Kills
Engineer,MX4,M145 (3.4X),Optic,20 Kills
Engineer,MX4,Flash Light,Accessory,30 Kills
Engineer,MX4,Angled Grip,Underbarrel,40 Kills
Engineer,MX4,Muzzle Brake,Barrel,50 Kills
Engineer,MX4,Holo (1X),Optic,60 Kills
Engineer,MX4,Stubby Grip,Underbarrel,70 Kills
Engineer,MX4,Suppressor,Barrel,80 Kills
Engineer,MX4,Canted Iron Sights,Accessory,90 Kills
Engineer,MX4,Heavy Barrel,Barrel,100 Kills
Engineer,MX4,FLIR (IR 2X),Optic,BattlePack
Engineer,MX4,PRISMA (3.4X),Optic,BattlePack
Engineer,MX4,JGM-4 (4X),Optic,BattlePack
Engineer,MX4,Coyote (RDS),Optic,BattlePack
Engineer,MX4,Flash Hider,Barrel,BattlePack
Engineer,MX4,Folding Grip,Underbarrel,BattlePack
Engineer,MX4,Potato Grip,Underbarrel,BattlePack
Engineer,MX4,Vertical Grip,Underbarrel,BattlePack
Engineer,MX4,Green Laser Sight,Optic,BattlePack
Engineer,MX4,IRNV (IR 1X),Optic,BattlePack
Engineer,MX4,Kobra (RDS),Optic,BattlePack
Engineer,MX4,LS06 Suppressor,Barrel,BattlePack
Engineer,MX4,PBS-4 Suppressor,Barrel,BattlePack
Engineer,MX4,Laser/Light Combo,Accessory,BattlePack
Engineer,MX4,PKA-S (1X),Optic,BattlePack
Engineer,MX4,PK-A (3.4X),Optic,BattlePack
Engineer,MX4,PSO-1 (4X),Optic,BattlePack
Engineer,MX4,R2 Suppressor,Barrel,BattlePack
Engineer,MX4,Tactical Light,Accessory,BattlePack
Engineer,MX4,Tri Beam Laser,Accessory,BattlePack
Engineer,MX4,HD-33 (1X),Optic,BattlePack
Engineer,PP-2000,Iron Sights,Optic,Default
Engineer,PP-2000,Kobra (RDS),Optic,10 Kills
Engineer,PP-2000,Laser Sight,Accessory,20 Kills
Engineer,PP-2000,Compensator,Barrel,30 Kills
Engineer,PP-2000,PK-A (3.4X),Optic,40 Kills
Engineer,PP-2000,Flash Light,Accessory,50 Kills
Engineer,PP-2000,Muzzle Brake,Barrel,60 Kills
Engineer,PP-2000,PKA-S (1X),Optic,70 Kills
Engineer,PP-2000,PBS-4 Suppressor,Barrel,80 Kills
Engineer,PP-2000,PSO-1 (4X),Optic,90 Kills
Engineer,PP-2000,Canted Iron Sights,Accessory,100 Kills
Engineer,PP-2000,Heavy Barrel,Barrel,110 Kills
Engineer,PP-2000,FLIR (IR 2X),Optic,BattlePack
Engineer,PP-2000,ACOG (4X),Optic,BattlePack
Engineer,PP-2000,PRISMA (3.4X),Optic,BattlePack
Engineer,PP-2000,JGM-4 (4X),Optic,BattlePack
Engineer,PP-2000,Coyote (RDS),Optic,BattlePack
Engineer,PP-2000,Holo (1X),Optic,BattlePack
Engineer,PP-2000,Green Laser Sight,Optic,BattlePack
Engineer,PP-2000,IRNV (IR 1X),Optic,BattlePack
Engineer,PP-2000,LS06 Suppressor,Barrel,BattlePack
Engineer,PP-2000,M145 (3.4X),Optic,BattlePack
Engineer,PP-2000,Laser/Light Combo,Accessory,BattlePack
Engineer,PP-2000,R2 Suppressor,Barrel,BattlePack
Engineer,PP-2000,Reflex (RDS),Optic,BattlePack
Engineer,PP-2000,Suppressor,Barrel,BattlePack
Engineer,PP-2000,Tactical Light,Accessory,BattlePack
Engineer,PP-2000,Tri Beam Laser,Accessory,BattlePack
Engineer,PP-2000,HD-33 (1X),Optic,BattlePack
Engineer,PP-2000,Flash Hider,Barrel,BattlePack
Engineer,UMP-45,Iron Sights,Optic,Default
Engineer,UMP-45,Reflex (RDS),Optic,10 Kills
Engineer,UMP-45,Laser Sight,Accessory,20 Kills
Engineer,UMP-45,ERGO Grip,Underbarrel,30 Kills
Engineer,UMP-45,Compensator,Barrel,40 Kills
Engineer,UMP-45,M145 (3.4X),Optic,50 Kills
Engineer,UMP-45,Flash Light,Accessory,60 Kills
Engineer,UMP-45,Angled Grip,Underbarrel,70 Kills
Engineer,UMP-45,Muzzle Brake,Barrel,80 Kills
Engineer,UMP-45,Holo (1X),Optic,90 Kills
Engineer,UMP-45,Stubby Grip,Underbarrel,100 Kills
Engineer,UMP-45,Suppressor,Barrel,110 Kills
Engineer,UMP-45,ACOG (4X),Optic,120 Kills
Engineer,UMP-45,Canted Iron Sights,Accessory,130 Kills
Engineer,UMP-45,Heavy Barrel,Barrel,140 Kills
Engineer,UMP-45,FLIR (IR 2X),Optic,BattlePack
Engineer,UMP-45,PRISMA (3.4X),Optic,BattlePack
Engineer,UMP-45,JGM-4 (4X),Optic,BattlePack
Engineer,UMP-45,Coyote (RDS),Optic,BattlePack
Engineer,UMP-45,Flash Hider,Barrel,BattlePack
Engineer,UMP-45,Folding Grip,Underbarrel,BattlePack
Engineer,UMP-45,Potato Grip,Underbarrel,BattlePack
Engineer,UMP-45,Vertical Grip,Underbarrel,BattlePack
Engineer,UMP-45,Green Laser Sight,Optic,BattlePack
Engineer,UMP-45,IRNV (IR 1X),Optic,BattlePack
Engineer,UMP-45,Kobra (RDS),Optic,BattlePack
Engineer,UMP-45,LS06 Suppressor,Barrel,BattlePack
Engineer,UMP-45,PBS-4 Suppressor,Barrel,BattlePack
Engineer,UMP-45,Laser/Light Combo,Accessory,BattlePack
Engineer,UMP-45,PKA-S (1X),Optic,BattlePack
Engineer,UMP-45,PK-A (3.4X),Optic,BattlePack
Engineer,UMP-45,PSO-1 (4X),Optic,BattlePack
Engineer,UMP-45,R2 Suppressor,Barrel,BattlePack
Engineer,UMP-45,Tactical Light,Accessory,BattlePack
Engineer,UMP-45,Tri Beam Laser,Accessory,BattlePack
Engineer,UMP-45,HD-33 (1X),Optic,BattlePack
Engineer,CBJ-MS,Iron Sights,Optic,Default
Engineer,CBJ-MS,Reflex (RDS),Optic,10 Kills
Engineer,CBJ-MS,Laser Sight,Accessory,20 Kills
Engineer,CBJ-MS,Compensator,Barrel,30 Kills
Engineer,CBJ-MS,M145 (3.4X),Optic,40 Kills
Engineer,CBJ-MS,Flash Light,Accessory,50 Kills
Engineer,CBJ-MS,Muzzle Brake,Barrel,60 Kills
Engineer,CBJ-MS,Holo (1X),Optic,70 Kills
Engineer,CBJ-MS,Suppressor,Barrel,80 Kills
Engineer,CBJ-MS,ACOG (4X),Optic,90 Kills
Engineer,CBJ-MS,Canted Iron Sights,Accessory,100 Kills
Engineer,CBJ-MS,Heavy Barrel,Barrel,110 Kills
Engineer,CBJ-MS,FLIR (IR 2X),Optic,BattlePack
Engineer,CBJ-MS,PRISMA (3.4X),Optic,BattlePack
Engineer,CBJ-MS,JGM-4 (4X),Optic,BattlePack
Engineer,CBJ-MS,Coyote (RDS),Optic,BattlePack
Engineer,CBJ-MS,Flash Hider,Barrel,BattlePack
Engineer,CBJ-MS,Green Laser Sight,Optic,BattlePack
Engineer,CBJ-MS,IRNV (IR 1X),Optic,BattlePack
Engineer,CBJ-MS,Kobra (RDS),Optic,BattlePack
Engineer,CBJ-MS,LS06 Suppressor,Barrel,BattlePack
Engineer,CBJ-MS,PBS-4 Suppressor,Barrel,BattlePack
Engineer,CBJ-MS,Laser/Light Combo,Accessory,BattlePack
Engineer,CBJ-MS,PKA-S (1X),Optic,BattlePack
Engineer,CBJ-MS,PK-A (3.4X),Optic,BattlePack
Engineer,CBJ-MS,PSO-1 (4X),Optic,BattlePack
Engineer,CBJ-MS,R2 Suppressor,Barrel,BattlePack
Engineer,CBJ-MS,Tactical Light,Accessory,BattlePack
Engineer,CBJ-MS,Tri Beam Laser,Accessory,BattlePack
Engineer,CBJ-MS,HD-33 (1X),Optic,BattlePack
Engineer,PDW-R,Iron Sights,Optic,Default
Engineer,PDW-R,Reflex (RDS),Optic,10 Kills
Engineer,PDW-R,Laser Sight,Accessory,20 Kills
Engineer,PDW-R,Compensator,Barrel,30 Kills
Engineer,PDW-R,M145 (3.4X),Optic,40 Kills
Engineer,PDW-R,Flash Light,Accessory,50 Kills
Engineer,PDW-R,Muzzle Brake,Barrel,60 Kills
Engineer,PDW-R,Holo (1X),Optic,70 Kills
Engineer,PDW-R,Suppressor,Barrel,80 Kills
Engineer,PDW-R,ACOG (4X),Optic,90 Kills
Engineer,PDW-R,Canted Iron Sights,Accessory,100 Kills
Engineer,PDW-R,Heavy Barrel,Barrel,110 Kills
Engineer,PDW-R,FLIR (IR 2X),Optic,BattlePack
Engineer,PDW-R,PRISMA (3.4X),Optic,BattlePack
Engineer,PDW-R,JGM-4 (4X),Optic,BattlePack
Engineer,PDW-R,Coyote (RDS),Optic,BattlePack
Engineer,PDW-R,Flash Hider,Barrel,BattlePack
Engineer,PDW-R,Green Laser Sight,Optic,BattlePack
Engineer,PDW-R,IRNV (IR 1X),Optic,BattlePack
Engineer,PDW-R,Kobra (RDS),Optic,BattlePack
Engineer,PDW-R,LS06 Suppressor,Barrel,BattlePack
Engineer,PDW-R,PBS-4 Suppressor,Barrel,BattlePack
Engineer,PDW-R,Laser/Light Combo,Accessory,BattlePack
Engineer,PDW-R,PKA-S (1X),Optic,BattlePack
Engineer,PDW-R,PK-A (3.4X),Optic,BattlePack
Engineer,PDW-R,PSO-1 (4X),Optic,BattlePack
Engineer,PDW-R,R2 Suppressor,Barrel,BattlePack
Engineer,PDW-R,Tactical Light,Accessory,BattlePack
Engineer,PDW-R,Tri Beam Laser,Accessory,BattlePack
Engineer,PDW-R,HD-33 (1X),Optic,BattlePack
Engineer,CZ-3A1,Iron Sights,Optic,Default
Engineer,CZ-3A1,Kobra (RDS),Optic,10 Kills
Engineer,CZ-3A1,Laser Sight,Accessory,20 Kills
Engineer,CZ-3A1,ERGO Grip,Underbarrel,30 Kills
Engineer,CZ-3A1,Compensator,Barrel,40 Kills
Engineer,CZ-3A1,PK-A (3.4X),Optic,50 Kills
Engineer,CZ-3A1,Flash Light,Accessory,60 Kills
Engineer,CZ-3A1,Angled Grip,Underbarrel,70 Kills
Engineer,CZ-3A1,Muzzle Brake,Barrel,80 Kills
Engineer,CZ-3A1,PKA-S (1X),Optic,90 Kills
Engineer,CZ-3A1,Stubby Grip,Underbarrel,100 Kills
Engineer,CZ-3A1,PBS-4 Suppressor,Barrel,110 Kills
Engineer,CZ-3A1,PSO-1 (4X),Optic,120 Kills
Engineer,CZ-3A1,Canted Iron Sights,Accessory,130 Kills
Engineer,CZ-3A1,Heavy Barrel,Barrel,140 Kills
Engineer,CZ-3A1,ACOG (4X),Optic,BattlePack
Engineer,CZ-3A1,FLIR (IR 2X),Optic,BattlePack
Engineer,CZ-3A1,PRISMA (3.4X),Optic,BattlePack
Engineer,CZ-3A1,JGM-4 (4X),Optic,BattlePack
Engineer,CZ-3A1,Coyote (RDS),Optic,BattlePack
Engineer,CZ-3A1,Holo (1X),Optic,BattlePack
Engineer,CZ-3A1,Flash Hider,Barrel,BattlePack
Engineer,CZ-3A1,Folding Grip,Underbarrel,BattlePack
Engineer,CZ-3A1,Potato Grip,Underbarrel,BattlePack
Engineer,CZ-3A1,Vertical Grip,Underbarrel,BattlePack
Engineer,CZ-3A1,Green Laser Sight,Optic,BattlePack
Engineer,CZ-3A1,IRNV (IR 1X),Optic,BattlePack
Engineer,CZ-3A1,LS06 Suppressor,Barrel,BattlePack
Engineer,CZ-3A1,M145 (3.4X),Optic,BattlePack
Engineer,CZ-3A1,Laser/Light Combo,Accessory,BattlePack
Engineer,CZ-3A1,R2 Suppressor,Barrel,BattlePack
Engineer,CZ-3A1,Reflex (RDS),Optic,BattlePack
Engineer,CZ-3A1,Suppressor,Barrel,BattlePack
Engineer,CZ-3A1,Tactical Light,Accessory,BattlePack
Engineer,CZ-3A1,Tri Beam Laser,Accessory,BattlePack
Engineer,CZ-3A1,HD-33 (1X),Optic,BattlePack
Engineer,JS2,Iron Sights,Optic,Default
Engineer,JS2,Coyote (RDS),Optic,10 Kills
Engineer,JS2,Laser Sight,Accessory,20 Kills
Engineer,JS2,Compensator,Barrel,30 Kills
Engineer,JS2,PRISMA (3.4X),Optic,40 Kills
Engineer,JS2,Flash Light,Accessory,50 Kills
Engineer,JS2,Muzzle Brake,Barrel,60 Kills
Engineer,JS2,HD-33 (1X),Optic,70 Kills
Engineer,JS2,LS06 Suppressor,Barrel,80 Kills
Engineer,JS2,JGM-4 (4X),Optic,90 Kills
Engineer,JS2,Canted Iron Sights,Accessory,100 Kills
Engineer,JS2,Heavy Barrel,Barrel,110 Kills
Engineer,JS2,ACOG (4X),Optic,BattlePack
Engineer,JS2,FLIR (IR 2X),Optic,BattlePack
Engineer,JS2,Holo (1X),Optic,BattlePack
Engineer,JS2,Flash Hider,Barrel,BattlePack
Engineer,JS2,Green Laser Sight,Optic,BattlePack
Engineer,JS2,IRNV (IR 1X),Optic,BattlePack
Engineer,JS2,Kobra (RDS),Optic,BattlePack
Engineer,JS2,M145 (3.4X),Optic,BattlePack
Engineer,JS2,PBS-4 Suppressor,Barrel,BattlePack
Engineer,JS2,Laser/Light Combo,Accessory,BattlePack
Engineer,JS2,PK-A (3.4X),Optic,BattlePack
Engineer,JS2,PKA-S (1X),Optic,BattlePack
Engineer,JS2,PSO-1 (4X),Optic,BattlePack
Engineer,JS2,R2 Suppressor,Barrel,BattlePack
Engineer,JS2,Reflex (RDS),Optic,BattlePack
Engineer,JS2,Suppressor,Barrel,BattlePack
Engineer,JS2,Tactical Light,Accessory,BattlePack
Engineer,JS2,Tri Beam Laser,Accessory,BattlePack
Engineer,P90,Iron Sights,Optic,Default
Engineer,P90,Reflex (RDS),Optic,10 Kills
Engineer,P90,Laser Sight,Accessory,20 Kills
Engineer,P90,Compensator,Barrel,30 Kills
Engineer,P90,M145 (3.4X),Optic,40 Kills
Engineer,P90,Flash Light,Accessory,50 Kills
Engineer,P90,Muzzle Brake,Barrel,60 Kills
Engineer,P90,Holo (1X),Optic,70 Kills
Engineer,P90,Suppressor,Barrel,80 Kills
Engineer,P90,ACOG (4X),Optic,90 Kills
Engineer,P90,Canted Iron Sights,Accessory,100 Kills
Engineer,P90,Heavy Barrel,Barrel,110 Kills
Engineer,P90,FLIR (IR 2X),Optic,BattlePack
Engineer,P90,PRISMA (3.4X),Optic,BattlePack
Engineer,P90,JGM-4 (4X),Optic,BattlePack
Engineer,P90,Coyote (RDS),Optic,BattlePack
Engineer,P90,Flash Hider,Barrel,BattlePack
Engineer,P90,Green Laser Sight,Optic,BattlePack
Engineer,P90,IRNV (IR 1X),Optic,BattlePack
Engineer,P90,Kobra (RDS),Optic,BattlePack
Engineer,P90,LS06 Suppressor,Barrel,BattlePack
Engineer,P90,PBS-4 Suppressor,Barrel,BattlePack
Engineer,P90,Laser/Light Combo,Accessory,BattlePack
Engineer,P90,PKA-S (1X),Optic,BattlePack
Engineer,P90,PK-A (3.4X),Optic,BattlePack
Engineer,P90,PSO-1 (4X),Optic,BattlePack
Engineer,P90,R2 Suppressor,Barrel,BattlePack
Engineer,P90,Tactical Light,Accessory,BattlePack
Engineer,P90,Tri Beam Laser,Accessory,BattlePack
Engineer,P90,HD-33 (1X),Optic,BattlePack
Engineer,UMP-9,Iron Sights,Optic,Default
Engineer,UMP-9,Reflex (RDS),Optic,10 Kills
Engineer,UMP-9,Laser Sight,Accessory,20 Kills
Engineer,UMP-9,ERGO Grip,Underbarrel,30 Kills
Engineer,UMP-9,Compensator,Barrel,40 Kills
Engineer,UMP-9,M145 (3.4X),Optic,50 Kills
Engineer,UMP-9,Flash Light,Accessory,60 Kills
Engineer,UMP-9,Angled Grip,Underbarrel,70 Kills
Engineer,UMP-9,Muzzle Brake,Barrel,80 Kills
Engineer,UMP-9,Holo (1X),Optic,90 Kills
Engineer,UMP-9,Stubby Grip,Underbarrel,100 Kills
Engineer,UMP-9,Suppressor,Barrel,110 Kills
Engineer,UMP-9,ACOG (4X),Optic,120 Kills
Engineer,UMP-9,Canted Iron Sights,Accessory,130 Kills
Engineer,UMP-9,Heavy Barrel,Barrel,140 Kills
Engineer,UMP-9,FLIR (IR 2X),Optic,BattlePack
Engineer,UMP-9,PRISMA (3.4X),Optic,BattlePack
Engineer,UMP-9,JGM-4 (4X),Optic,BattlePack
Engineer,UMP-9,Coyote (RDS),Optic,BattlePack
Engineer,UMP-9,Flash Hider,Barrel,BattlePack
Engineer,UMP-9,Folding Grip,Underbarrel,BattlePack
Engineer,UMP-9,Potato Grip,Underbarrel,BattlePack
Engineer,UMP-9,Vertical Grip,Underbarrel,BattlePack
Engineer,UMP-9,Green Laser Sight,Optic,BattlePack
Engineer,UMP-9,IRNV (IR 1X),Optic,BattlePack
Engineer,UMP-9,Kobra (RDS),Optic,BattlePack
Engineer,UMP-9,LS06 Suppressor,Barrel,BattlePack
Engineer,UMP-9,PBS-4 Suppressor,Barrel,BattlePack
Engineer,UMP-9,Laser/Light Combo,Accessory,BattlePack
Engineer,UMP-9,PKA-S (1X),Optic,BattlePack
Engineer,UMP-9,PK-A (3.4X),Optic,BattlePack
Engineer,UMP-9,PSO-1 (4X),Optic,BattlePack
Engineer,UMP-9,R2 Suppressor,Barrel,BattlePack
Engineer,UMP-9,Tactical Light,Accessory,BattlePack
Engineer,UMP-9,Tri Beam Laser,Accessory,BattlePack
Engineer,UMP-9,HD-33 (1X),Optic,BattlePack
Engineer,MP7,Iron Sights,Optic,Default
Engineer,MP7,Reflex (RDS),Optic,10 Kills
Engineer,MP7,Laser Sight,Accessory,20 Kills
Engineer,MP7,Compensator,Barrel,30 Kills
Engineer,MP7,M145 (3.4X),Optic,40 Kills
Engineer,MP7,Flash Light,Accessory,50 Kills
Engineer,MP7,Muzzle Brake,Barrel,60 Kills
Engineer,MP7,Holo (1X),Optic,70 Kills
Engineer,MP7,Suppressor,Barrel,80 Kills
Engineer,MP7,ACOG (4X),Optic,90 Kills
Engineer,MP7,Canted Iron Sights,Accessory,100 Kills
Engineer,MP7,Heavy Barrel,Barrel,110 Kills
Engineer,MP7,FLIR (IR 2X),Optic,BattlePack
Engineer,MP7,PRISMA (3.4X),Optic,BattlePack
Engineer,MP7,JGM-4 (4X),Optic,BattlePack
Engineer,MP7,Coyote (RDS),Optic,BattlePack
Engineer,MP7,Flash Hider,Barrel,BattlePack
Engineer,MP7,Green Laser Sight,Optic,BattlePack
Engineer,MP7,IRNV (IR 1X),Optic,BattlePack
Engineer,MP7,Kobra (RDS),Optic,BattlePack
Engineer,MP7,LS06 Suppressor,Barrel,BattlePack
Engineer,MP7,PBS-4 Suppressor,Barrel,BattlePack
Engineer,MP7,Laser/Light Combo,Accessory,BattlePack
Engineer,MP7,PKA-S (1X),Optic,BattlePack
Engineer,MP7,PK-A (3.4X),Optic,BattlePack
Engineer,MP7,PSO-1 (4X),Optic,BattlePack
Engineer,MP7,R2 Suppressor,Barrel,BattlePack
Engineer,MP7,Tactical Light,Accessory,BattlePack
Engineer,MP7,Tri Beam Laser,Accessory,BattlePack
Engineer,MP7,HD-33 (1X),Optic,BattlePack
Engineer,AS VAL,Iron Sights,Optic,Default
Engineer,AS VAL,Kobra (RDS),Optic,10 Kills
Engineer,AS VAL,Laser Sight,Accessory,20 Kills
Engineer,AS VAL,Ergo Grip,Underbarrel,30 Kills
Engineer,AS VAL,PK-A (3.4X),Optic,40 Kills
Engineer,AS VAL,Flash Light,Accessory,50 Kills
Engineer,AS VAL,Angled Grip,Barrel,60 Kills
Engineer,AS VAL,PKA-S (1X),Optic,70 Kills
Engineer,AS VAL,Stubby Grip,Underbarrel,80 Kills
Engineer,AS VAL,PSO-1 (4X),Optic,90 Kills
Engineer,AS VAL,Canted Iron Sights,Accessory,100 Kills
Engineer,AS VAL,FLIR (IR 2X),Optic,BattlePack
